fixture_id,B365H,B365D,B365A
570,3.6,3.4,2.2
571,3.2,3.3,2.45
572,2.3,3.4,3.4
573,3.2,3.4,2.4
574,3.6,3.5,2.14
575,3.6,3.5,2.14
576,2.3,3.3,3.5
577,1.8,3.7,5
578,1.66,4,5.75
579,4.33,3.1,2.1
580,2.5,3.3,3.1
581,1.55,4,7.5
582,2.04,3.4,4.1
583,2.87,3.4,2.6
584,2.14,3.4,3.8
585,3.6,3.6,2.14
586,1.95,3.5,4.33
587,3.75,3.5,2.1
588,3.8,3.5,2.1
589,1.64,4,6
590,3.5,3.25,2.3
591,1.85,3.6,4.75
592,2.3,3.7,3.1
593,1.8,3.6,5.25
594,2.8,3.4,2.7
595,2.5,3.3,3.1
596,2.37,3.4,3.2
597,2.75,3.25,2.8
598,1.6,4.2,6
599,1.83,3.6,5
600,1.53,4.33,7
601,1.95,3.5,4.33
602,3.4,3.4,2.3
603,1.8,3.8,4.75
604,2.7,3.4,2.8
605,2.7,3.4,2.75
606,2.8,3.2,2.8
607,2.4,3.4,3.2
608,2.9,3.25,2.7
609,2.25,3.3,3.6
610,3.7,3.25,2.25
611,2.04,3.4,4.2
612,3.2,3.6,2.3
613,1.4,4.8,9.5
614,2.2,3.5,3.5
615,2.3,3.4,3.4
616,2.1,3.4,3.9
617,1.95,3.6,4.2
618,2.3,3.25,3.5
619,1.75,3.75,5.25
620,3.6,3.3,2.25
621,1.9,3.6,4.5
622,1.44,4.75,8.5
623,3,3.5,2.45
624,2.04,3.6,3.8
625,1.85,3.75,4.5
626,2.9,3.3,2.62
627,2.5,3.4,3
628,1.75,3.9,5
629,2.14,3.3,3.9
630,1.61,4.2,6
631,2.37,3.5,3.1
632,1.66,4,5.75
633,2.62,3.3,2.9
634,1.7,4,5.25
635,1.83,3.75,4.75
636,1.75,3.75,5.25
637,1.44,4.5,8.5
638,2.5,3.4,3
639,1.9,3.75,4.33
640,2.04,3.5,4
641,3.4,3.6,2.2
642,3.4,3.4,2.3
643,3.1,3.4,2.45
644,3.5,3.4,2.25
645,3.5,3.4,2.25
646,3.3,3.5,2.3
647,2.54,3.2,3.1
648,3.5,3.5,2.2
649,2,3.4,4.33
650,1.7,3.8,5.75
651,4,3.4,2.1
652,2.14,3.5,3.6
653,2.1,3.6,3.75
654,1.66,3.8,6
655,1.85,3.75,4.5
656,2.6,3.3,3
657,3,3.5,2.45
658,2.3,3.3,3.5
659,1.53,4.33,7
660,2.7,3.6,2.62
661,1.85,3.8,4.5
662,2.5,3.4,3
663,2.62,3.3,2.9
664,4.5,3.6,1.9
665,1.8,3.9,4.75
666,1.61,4,6.5
667,2.2,3.4,3.6
668,5.25,3.8,1.75
669,3.75,3.6,2.1
670,2,3.5,4.2
671,2.5,3.4,3
672,1.85,3.75,4.5
673,2.4,3.3,3.25
674,1.95,3.6,4.2
675,3.2,3.3,2.45
676,2.04,3.4,4.1
677,1.95,3.5,4.33
678,2.14,3.4,3.8
679,1.44,4.5,8.5
680,1.66,3.75,6.5
681,1.95,3.5,4.33
682,4,3.5,2.04
683,2.35,3.5,3.2
684,1.95,3.8,4
685,2.25,3.3,3.6
686,2.1,3.6,3.75
687,1.7,4,5.25
688,1.75,3.6,5.75
689,2.25,3.4,3.5
690,1.36,5,11
691,2.04,3.5,3.9
692,4.75,3.8,1.8
693,2.14,3.5,3.6
694,1.44,4.33,9.5
695,2.3,3.75,3.1
696,3.4,3.4,2.3
697,2.04,3.7,3.8
698,2.45,3.3,3.2
699,5.75,3.8,1.7
700,2.9,3.3,2.62
701,2.04,3.7,3.8
702,2.8,3.5,2.62
703,3.25,3.25,2.45
704,2.2,3.4,3.6
705,3,3.3,2.54
706,2.04,3.6,3.8
707,2.2,3.6,3.4
708,1.72,4,5
709,2.5,3.6,2.9
710,3.1,3.4,2.45
711,1.5,4.4,7.5
712,2.1,3.5,3.8
713,2.7,3.4,2.8
714,5.25,3.5,1.83
715,2.1,3.4,3.9
716,4.75,3.4,1.9
717,4.75,3.75,1.83
718,3.25,3.4,2.37
719,1.8,3.75,5
720,2.5,3.3,3.1
721,2.9,3.3,2.62
722,2.62,3.2,3
723,2.35,3.5,3.2
724,1.61,4,6.5
725,1.57,4,7
726,1.75,4,5
727,1.9,3.7,4.33
728,2.14,3.4,3.75
729,1.75,3.7,5.5
730,2.14,3.6,3.5
731,2.75,3.5,2.64
732,1.57,4.2,6.5
733,2.3,3.3,3.1
734,4.75,3.5,1.8
735,1.55,3.8,5.75
736,1.5,4.33,6
737,1.44,4.2,7.5
738,2.5,3.25,2.8
739,2.1,3.4,3.4
740,2.9,3.4,2.37
741,1.6,4,5.25
742,1.6,4,5.25
743,1.9,3.5,4
744,1.44,4.33,7
745,1.85,3.8,4.5
746,3.1,3.6,2.37
747,2.54,3.5,2.9
748,2.37,3.3,3.3
749,1.66,3.8,6
750,3.4,3.2,2.37
751,3.2,3.4,2.4
752,3.25,3.4,2.37
753,3.2,3.4,2.4
754,2.9,3.2,2.7
755,2.1,3.4,3.9
756,3.6,3.5,2.14
757,2.8,3.1,2.9
758,2.4,3.4,3.2
759,1.6,3.9,7
760,2.05,3.5,3.9
761,2.45,3.25,3.2
762,2.05,3.6,3.8
763,2.15,3.4,3.75
764,2.5,3.4,3
765,3.5,3.4,2.25
766,1.65,3.9,6
767,2.25,3.6,3.3
768,3.3,3.5,2.3
769,2,3.8,3.75
770,1.75,3.6,5.75
771,4.75,3.6,1.72
772,1.7,3.9,5.5
773,1.85,3.4,5.25
774,1.9,3.6,4.4
775,2.5,3.3,3.1
776,2.2,3.5,3.5
777,4,3.6,2
778,2.55,3.3,3
779,3,3.5,2.45
780,3,3.4,2.5
781,1.5,4.5,7.5
782,2.3,3.5,3.25
783,2.8,3.2,2.8
784,2.05,3.5,4
785,2.15,3.3,3.9
786,2.5,3.4,3
787,2.15,3.4,3.8
788,3.2,3.5,2.35
789,5.75,4,1.66
790,3.2,3.5,2.35
791,2,3.4,4.33
792,2.15,3.4,3.75
793,2.3,3.3,3.5
794,0,3.75,4.2
795,2.35,3.4,3.25
796,2.6,3.4,2.87
797,3.1,3.1,2.62
798,1.95,3.8,4
799,1.66,3.8,6
800,2.3,3.5,3.25
801,3.5,3.6,2.15
802,1.28,5.5,15
803,2.2,3.25,3.8
804,2.37,3.4,3.25
805,2.9,3.5,2.55
806,2.75,3.2,2.87
807,4.5,3.6,1.9
808,2.15,3.5,3.6
809,2.87,3.25,2.7
810,1.4,5,9
811,2.9,3.4,2.6
812,2.45,3.25,3.25
813,3.1,3.3,2.5
814,2.05,3.4,4.2
815,2.55,3.3,3
816,2.1,3.4,4
817,1.5,4.2,8
818,1.75,3.75,5.25
819,4.75,3.6,1.85
820,2.6,3.5,2.8
821,1.8,3.8,4.75
822,2.15,3.75,3.4
823,1.85,3.6,4.75
824,1.72,4,5
825,2.2,3.3,3.75
826,2.8,3.3,2.75
827,2.05,3.3,4.2
828,2.8,3.3,2.75
829,2.6,3.6,2.75
